GEOID,year,vp_mean
13031,2018,1706.771728515625
13121,2018,1533.2542724609375
13179,2018,1831.0087890625
13189,2018,1578.87939453125
13213,2018,1469.7840576171875
13209,2018,1704.8946533203125
13139,2018,1461.984619140625
13245,2018,1621.781005859375
13049,2018,1851.92578125
13141,2018,1563.35693359375
13157,2018,1500.150390625
13315,2018,1703.1806640625
13241,2018,1284.6778564453125
13269,2018,1615.096923828125
13177,2018,1725.567626953125
13279,2018,1721.1864013671875
13007,2018,1754.132568359375
34015,2018,1315.4637451171875
34023,2018,1226.2684326171875
34035,2018,1181.8468017578125
34031,2018,1141.2447509765625
34021,2018,1205.0146484375
34009,2018,1400.8013916015625
35031,2018,455.42193603515625
35013,2018,793.83197021484375
28059,2018,1922.4970703125
35033,2018,550.59796142578125
53067,2018,826.66143798828125
51147,2018,1329.498779296875
01009,2018,1490.0579833984375
01095,2018,1462.982177734375
51029,2018,1308.8924560546875
51139,2018,1175.520751953125
53017,2018,562.53076171875
51153,2018,1330.7470703125
51171,2018,1138.30078125
01043,2018,1469.8343505859375
51061,2018,1279.3743896484375
53021,2018,569.26019287109375
53019,2018,621.600341796875
53029,2018,867.88067626953125
53075,2018,617.2939453125
33017,2018,914.80914306640625
31093,2018,951.339111328125
31115,2018,894.18109130859375
51001,2018,1520.31005859375
21101,2018,1383.24658203125
21093,2018,1307.8265380859375
51119,2018,1485.9263916015625
22075,2018,2304.055419921875
22107,2018,1717.4749755859375
51193,2018,1447.144287109375
22119,2018,1627.466796875
23027,2018,863.02899169921875
51091,2018,1000.8650512695312
21013,2018,1267.9122314453125
21131,2018,1241.45263671875
51083,2018,1338.2716064453125
23023,2018,912.5369873046875
21235,2018,1317.590576171875
24041,2018,1468.7489013671875
24033,2018,1404.4605712890625
24035,2018,1437.6961669921875
24023,2018,992.1912841796875
51165,2018,1128.0362548828125
37083,2018,1482.3870849609375
37179,2018,1526.435546875
37129,2018,1693.38916015625
37163,2018,1558.576904296875
37031,2018,1767.593017578125
37183,2018,1468.134765625
37119,2018,1495.202392578125
37087,2018,1099.8944091796875
37141,2018,1623.525634765625
37021,2018,1171.967529296875
37047,2018,1632.0501708984375
