GEOID,year,prcp_mean
13031,2018,1463.0518798828125
13121,2018,1879.9669189453125
13179,2018,1451.1748046875
13189,2018,1455.931396484375
13213,2018,2232.817138671875
13209,2018,1780.27392578125
13139,2018,1995.375732421875
13245,2018,1432.6873779296875
13049,2018,1754.4930419921875
13141,2018,1486.4859619140625
13157,2018,1913.159912109375
13315,2018,1676.6419677734375
13241,2018,2633.5478515625
13269,2018,1821.027099609375
13177,2018,1671.4541015625
13279,2018,1605.6326904296875
13007,2018,1724.93115234375
34015,2018,1678.858642578125
34023,2018,1717.2889404296875
34035,2018,1730.8931884765625
34031,2018,1881.2249755859375
34021,2018,1803.433349609375
34009,2018,1617.6705322265625
35031,2018,256.50872802734375
35013,2018,310.7252502441406
28059,2018,1945.88720703125
35033,2018,487.9823303222656
53067,2018,1358.282470703125
51147,2018,1658.205810546875
01009,2018,1744.512451171875
01095,2018,1639.3055419921875
51029,2018,1732.8736572265625
51139,2018,1844.9212646484375
53017,2018,309.818115234375
51153,2018,1788.70166015625
51171,2018,1674.831298828125
01043,2018,1874.9635009765625
51061,2018,1839.824462890625
53021,2018,229.9527130126953
53019,2018,580.03375244140625
53029,2018,788.28778076171875
53075,2018,433.71405029296875
33017,2018,1453.5926513671875
31093,2018,894.85357666015625
31115,2018,962.0382080078125
51001,2018,1374.1019287109375
21101,2018,1591.669189453125
21093,2018,1803.12939453125
51119,2018,1705.0482177734375
22075,2018,1920.11767578125
22107,2018,1893.43798828125
51193,2018,1806.478759765625
22119,2018,1843.277587890625
23027,2018,1390.5177001953125
51091,2018,1784.7315673828125
21013,2018,1943.5059814453125
21131,2018,1790.66015625
51083,2018,1768.628662109375
23023,2018,1338.4962158203125
21235,2018,1969.59375
24041,2018,1781.708740234375
24033,2018,1776.623779296875
24035,2018,1756.155517578125
24023,2018,1937.91650390625
51165,2018,1656.953369140625
37083,2018,1532.486083984375
37179,2018,1619.6878662109375
37129,2018,2593.72607421875
37163,2018,1790.7930908203125
37031,2018,2480.375732421875
37183,2018,1617.81298828125
37119,2018,1595.3389892578125
37087,2018,1903.982421875
37141,2018,2289.99755859375
37021,2018,1888.2650146484375
37047,2018,1979.1619873046875
37039,2018,2159.131103515625
37171,2018,1843.85986328125
37093,2018,1896.4378662109375
