GEOID,year,tmax_mean
13031,2018,25.209012985229492
13121,2018,22.721174240112305
13179,2018,25.699810028076172
13189,2018,23.97187042236328
13213,2018,21.6160831451416
13209,2018,25.373220443725586
13139,2018,21.695375442504883
13245,2018,24.69940948486328
13049,2018,26.41910171508789
13141,2018,24.17581558227539
13157,2018,22.396638870239258
13315,2018,25.360755920410156
13241,2018,19.414655685424805
13269,2018,24.549678802490234
13177,2018,25.4794921875
13279,2018,25.452951431274414
13007,2018,25.73357391357422
34015,2018,18.280658721923828
34023,2018,17.794723510742188
34035,2018,17.12501335144043
34031,2018,15.847899436950684
34021,2018,17.67780113220215
34009,2018,18.35957145690918
35031,2018,19.183467864990234
35013,2018,25.223737716674805
28059,2018,25.713634490966797
35033,2018,18.339895248413086
53067,2018,16.207868576049805
51147,2018,20.24032974243164
01009,2018,22.410966873168945
01095,2018,21.680299758911133
51029,2018,19.72006607055664
51139,2018,17.894550323486328
53017,2018,15.23177719116211
51153,2018,18.844764709472656
51171,2018,17.606063842773438
01043,2018,22.1850643157959
51061,2018,18.59750747680664
53021,2018,18.46759796142578
53019,2018,12.774795532226562
53029,2018,15.330963134765625
53075,2018,16.09602928161621
33017,2018,13.80599308013916
31093,2018,15.735861778259277
31115,2018,15.082174301147461
51001,2018,19.860633850097656
21101,2018,19.580732345581055
21093,2018,19.554771423339844
51119,2018,20.43828773498535
22075,2018,25.915081024169922
22107,2018,24.945030212402344
51193,2018,20.107532501220703
22119,2018,24.61582374572754
23027,2018,12.47005558013916
51091,2018,14.859560012817383
21013,2018,18.56467628479004
21131,2018,18.837207794189453
51083,2018,20.870046615600586
23023,2018,12.930963516235352
21235,2018,19.60804557800293
24041,2018,19.488372802734375
24033,2018,18.95671272277832
24035,2018,18.946521759033203
24023,2018,14.132458686828613
51165,2018,17.172582626342773
37083,2018,21.787755966186523
37179,2018,23.0189266204834
37129,2018,23.515560150146484
37163,2018,23.335437774658203
37031,2018,22.931547164916992
37183,2018,21.823421478271484
37119,2018,22.472984313964844
37087,2018,16.736604690551758
37141,2018,23.636741638183594
37021,2018,18.280492782592773
37047,2018,23.62398338317871
37039,2018,20.252901077270508
37171,2018,19.8885498046875
37093,2018,23.49560546875
37105,2018,22.443296432495117
37173,2018,17.571455001831055
37015,2018,22.149520874023438
37175,2018,17.838327407836914
18083,2018,19.07769775390625
18183,2018,15.152536392211914
18089,2018,15.453051567077637
18051,2018,19.287399291992188
18071,2018,18.441692352294922
18061,2018,19.226316452026367
21071,2018,18.98433494567871
20123,2018,18.749977111816406
21043,2018,18.403766632080078
21085,2018,19.853755950927734
21011,2018,18.63115119934082
21099,2018,19.939884185791016
20149,2018,18.324329376220703
21189,2018,19.247474670410156
21003,2018,20.506189346313477
21109,2018,19.209796905517578
