GEOID,year,tmin_mean
13031,2018,13.278882026672363
13121,2018,11.273515701293945
13179,2018,14.525206565856934
13189,2018,11.862187385559082
13213,2018,10.596071243286133
13209,2018,13.21145248413086
13139,2018,10.601160049438477
13245,2018,12.334720611572266
13049,2018,14.823907852172852
13141,2018,11.680204391479492
13157,2018,10.993844032287598
13315,2018,13.157002449035645
13241,2018,8.603883743286133
13269,2018,12.20378589630127
13177,2018,13.350726127624512
13279,2018,13.38308334350586
13007,2018,13.667263984680176
34015,2018,8.309743881225586
34023,2018,7.238266944885254
34035,2018,6.665934085845947
34031,2018,6.0636820793151855
34021,2018,6.970670223236084
34009,2018,9.2925262451171875
35031,2018,1.6281554698944092
35013,2018,8.840563774108887
28059,2018,15.212454795837402
35033,2018,1.8261879682540894
53067,2018,5.864791393280029
51147,2018,8.438234329223633
01009,2018,10.717107772827148
01095,2018,10.391048431396484
51029,2018,8.2481107711792
51139,2018,6.674604892730713
53017,2018,3.7360799312591553
51153,2018,8.469778060913086
51171,2018,6.159245014190674
01043,2018,10.459744453430176
51061,2018,7.8962507247924805
53021,2018,5.249086380004883
53019,2018,1.8137403726577759
53029,2018,6.577743053436279
53075,2018,3.68133282661438
33017,2018,2.7571160793304443
31093,2018,2.975508451461792
31115,2018,1.8462307453155518
51001,2018,10.638059616088867
21101,2018,8.810720443725586
21093,2018,8.059654235839844
51119,2018,10.213976860046387
22075,2018,18.405519485473633
22107,2018,13.201128005981445
51193,2018,9.7638578414917
22119,2018,12.534360885620117
23027,2018,1.8017301559448242
51091,2018,4.184367656707764
21013,2018,7.917837142944336
21131,2018,7.507299900054932
51083,2018,8.524378776550293
23023,2018,2.8676552772521973
21235,2018,8.480298042297363
24041,2018,10.038503646850586
24033,2018,9.296344757080078
24035,2018,9.7000885009765625
24023,2018,3.763695001602173
51165,2018,6.025443077087402
37083,2018,10.224456787109375
37179,2018,10.98371410369873
37129,2018,12.63284683227539
37163,2018,11.216062545776367
37031,2018,13.362751007080078
37183,2018,10.163783073425293
