icu_year,attributable_excess_yll,attributable_excess_yll_per_case
2018,381.88969658300755,381.88969658300755
2019,209.5469606715882,209.5469606715882
2020,144.38982916401704,144.38982916401704
2021,575.4737271549396,575.4737271549396
2022,497.5229041436904,497.5229041436904
2023,1241.2691075328466,1241.2691075328466
2024,1268.1118036986945,1268.1118036986945
