pm25_q,n_probable_cases,n_deaths,total_yll_observed,mean_yll_per_case,mean_yll_per_death,baseline_yll_per_case_q1,excess_yll_per_case_vs_q1,excess_total_yll_vs_q1
Q1 lowest,382,128,2480.8,6.494240837696336,19.38125,6.494240837696336,0,0
Q2,430,170,3420.6000000000004,7.954883720930233,20.12117647058824,6.494240837696336,1.4606428832338976,628.0764397905759
Q3,373,143,2714.2000000000007,7.27667560321716,18.980419580419586,6.494240837696336,0.7824347655208239,291.8481675392673
Q4 highest,448,207,3832.700000000001,8.555133928571431,18.515458937198073,6.494240837696336,2.060893090875095,923.2801047120427
