icu_year,n,cases,rate,se,rate_low,rate_high,pm25_mean
2018,841,166,0.19738406658739596,0.013724986841048054,0.17048309237894177,0.22428504079585015,8.408076525019005
2019,856,214,0.25,0.014800069461822345,0.22099186385482822,0.2790081361451718,7.500867301539371
2020,752,213,0.28324468085106386,0.016430751349864305,0.2510404082053298,0.3154489534967979,7.209379585957367
2021,778,231,0.2969151670951157,0.016380617058696055,0.2648091576600714,0.32902117653015994,8.621752090577955
2022,721,269,0.37309292649098474,0.01801119218590284,0.33779098980661515,0.40839486317535434,8.26043530806106
2023,830,263,0.3168674698795181,0.016149246556771947,0.2852149466282451,0.3485199931307911,10.067592912861674
2024,909,297,0.32673267326732675,0.015556364513706044,0.2962421988204629,0.3572231477141906,10.04882024894723
