pm25_q,component,yll
Q1 lowest,Baseline YLL at Q1 rate,2480.8
Q1 lowest,Excess YLL above Q1,0
Q2,Baseline YLL at Q1 rate,2792.5235602094244
Q2,Excess YLL above Q1,628.0764397905759
Q3,Baseline YLL at Q1 rate,2422.3518324607335
Q3,Excess YLL above Q1,291.8481675392673
Q4 highest,Baseline YLL at Q1 rate,2909.4198952879583
Q4 highest,Excess YLL above Q1,923.2801047120427
