exposure_group,pollutant,n,events,rate,se,rate_low,rate_high
Q1 lowest,PM2.5,382,128,0.33507853403141363,0.024150537378321582,0.2877434807699033,0.38241358729292396
Q2,PM2.5,430,170,0.3953488372093023,0.023578080781046822,0.34913579887845053,0.4415618755401541
Q3,PM2.5,373,143,0.38337801608579086,0.02517495419421323,0.3340351058651329,0.4327209263064488
Q4 highest,PM2.5,448,207,0.46205357142857145,0.02355465095483654,0.4158864555570918,0.5082206873000511
Q1 lowest,NO2,432,125,0.28935185185185186,0.02181717795437699,0.24659018306127295,0.33211352064243077
Q2,NO2,421,174,0.41330166270783847,0.023999376392866863,0.36626288497781945,0.4603404404378575
Q3,NO2,442,206,0.4660633484162896,0.02372773086378227,0.41955699592327633,0.5125697009093029
Q4 highest,NO2,338,143,0.4230769230769231,0.026872636278971816,0.37040655597013833,0.4757472901837078
