exposure_group,pollutant,n,events,rate,se,rate_low,rate_high
Q1 lowest,PM2.5,1411,382,0.27072997873848337,0.011829022236880449,0.2475450951541977,0.29391486232276903
Q2,PM2.5,1411,430,0.30474840538625086,0.012254009448155497,0.2807305468678661,0.32876626390463565
Q3,PM2.5,1410,373,0.2645390070921986,0.011746679652151242,0.24151551497398213,0.287562499210415
Q4 highest,PM2.5,1410,448,0.3177304964539007,0.012399320162016276,0.29342782893634883,0.3420331639714526
Q1 lowest,NO2,1411,432,0.30616583982990786,0.012269947335646096,0.2821167430520415,0.33021493660777423
Q2,NO2,1411,421,0.29836995038979447,0.012180584377857216,0.27449600500919435,0.3222438957703946
Q3,NO2,1410,442,0.31347517730496455,0.012354356928612847,0.28926063772488336,0.33768971688504573
Q4 highest,NO2,1410,338,0.2397163120567376,0.011369125847951697,0.21743282539475228,0.2619997987187229
