phenotype_tier,n_deaths,total_yll,mean_yll_per_death,median_yll_per_death
high_confidence,611,11477.29999999999,18.78445171849427,16.4
possible,157,3171.7000000000003,20.201910828025476,16.4
probable,43,1058.5,24.616279069767444,23.9
